Year,113 Cause Name,Cause Name,State,Deaths,Age-adjusted Death Rate
2000,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,NY,1132,5.9
2001,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,IA,220,6
2005,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,NY,1189,6
2004,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,NY,1187,6
2007,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,DC,36,6
2000,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,MA,387,6
2013,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,WA,461,6.1
2005,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,NJ,536,6.1
2003,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,DC,36,6.1
2014,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,WA,481,6.2
2000,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,CA,1785,6.2
2001,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,ND,50,6.2
2009,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,NJ,557,6.2
2007,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,ND,56,6.3
2002,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,NY,1228,6.3
2002,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,NJ,553,6.3
1999,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,NY,1196,6.3
2005,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,RI,71,6.3
2004,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,ND,55,6.4
2005,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,IA,250,6.4
1999,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,IA,226,6.4
2006,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,SD,62,6.4
2004,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,MA,425,6.4
2003,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,IA,241,6.5
2014,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,SD,72,6.5
2003,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,MA,433,6.5
2001,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,MA,426,6.5
2006,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,NJ,585,6.5
2001,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,NY,1253,6.5
2001,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,DC,40,6.5
2003,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,ND,56,6.6
2006,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,ND,59,6.6
2012,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,WA,482,6.6
2016,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,WA,532,6.6
2002,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,MA,436,6.6
1999,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,NJ,563,6.6
2000,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,NJ,560,6.6
2006,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,WA,423,6.7
2010,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,VT,50,6.7
1999,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,MA,431,6.7
2006,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,NY,1326,6.7
2007,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,NJ,596,6.7
2006,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,MA,450,6.7
2003,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,NJ,588,6.7
2007,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,WA,440,6.8
1999,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,WY,30,6.8
2011,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,WA,492,6.8
2001,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,CA,1994,6.8
2009,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,VT,49,6.8
2011,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,OR,316,6.8
2002,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,AK,21,6.8
2004,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,NJ,597,6.8
2008,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,NJ,615,6.8
2001,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,NJ,588,6.8
2007,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,IA,272,6.9
2013,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,OR,327,6.9
2002,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,ND,57,6.9
2012,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,OR,320,6.9
2010,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,DC,41,6.9
2011,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,CA,2599,7
2016,Influenza and pneumonia (J09-J18),Influenza and pneumonia,VT,59,7
2002,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,ID,86,7
2009,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,NY,1417,7
1999,Alzheimer's disease (G30),Alzheimer's disease,NY,1357,7
2009,Influenza and pneumonia (J09-J18),Influenza and pneumonia,VT,52,7
2002,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,IA,261,7.1
2004,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,AK,23,7.1
2008,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,WA,471,7.1
2008,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,NY,1409,7.1
2007,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,NY,1396,7.1
2000,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,RI,75,7.1
2012,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,DC,44,7.2
2012,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,CA,2728,7.2
2004,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,IA,266,7.2
2002,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,OR,266,7.2
2016,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,NJ,687,7.2
2001,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,AK,24,7.2
2002,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,CA,2164,7.2
2013,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,CA,2840,7.2
2005,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,MA,480,7.2
1999,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,OR,260,7.3
2010,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,SD,74,7.3
2007,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,CT,271,7.3
2002,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,CT,260,7.3
2008,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,DC,43,7.3
2005,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,OR,295,7.4
2006,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,VT,52,7.4
2015,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,SD,79,7.4
2012,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,NJ,683,7.4
2005,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,WA,450,7.5
2009,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,WA,509,7.5
2003,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,CT,272,7.5
2011,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,NJ,689,7.5
2008,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,MA,509,7.5
2009,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,IA,302,7.6
2007,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,VT,54,7.6
2014,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,IA,313,7.6
2004,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,CA,2373,7.6
2016,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,SD,90,7.6
2003,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,CA,2334,7.6
2004,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,RI,85,7.6
2007,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,SD,77,7.7
2016,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,OR,398,7.7
2005,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,CA,2482,7.7
2003,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,ID,97,7.7
2014,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,OR,378,7.7
2005,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,VT,52,7.7
2014,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,CA,3119,7.7
2010,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,NJ,719,7.7
2010,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,NY,1547,7.7
2007,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,MA,516,7.7
2003,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,RI,84,7.7
2008,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,IA,304,7.8
2008,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,AZ,503,7.8
2016,Influenza and pneumonia (J09-J18),Influenza and pneumonia,MN,529,7.8
2011,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,IA,316,7.8
2014,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,DC,52,7.8
2015,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,NY,1652,7.8
2009,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,MA,530,7.8
2000,Alzheimer's disease (G30),Alzheimer's disease,NY,1539,7.8
2010,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,AZ,537,7.9
2005,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,ND,67,7.9
2012,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,IA,322,7.9
2006,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,IL,1010,7.9
1999,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,CT,274,7.9
2002,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,RI,86,7.9
2015,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,IA,336,8
1999,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,NH,93,8
2000,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,ND,67,8
2012,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,MT,100,8
2014,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,DC,49,8
2001,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,ID,95,8
2010,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,WA,552,8
1999,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,CA,2261,8
2014,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,ID,137,8
2004,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,OR,308,8
2006,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,CT,292,8
2013,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,NJ,757,8
2010,Influenza and pneumonia (J09-J18),Influenza and pneumonia,VT,60,8
2003,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,IL,1011,8
2003,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,OR,306,8.1
2016,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,NY,1679,8.1
2010,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,IA,323,8.1
2003,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,VT,53,8.1
2001,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,CT,283,8.1
2001,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,RI,88,8.1
2004,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,IL,1028,8.1
2012,Influenza and pneumonia (J09-J18),Influenza and pneumonia,OR,382,8.1
2013,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,NY,1687,8.1
2005,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,CT,295,8.1
2000,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,IL,1003,8.1
2014,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,NY,1700,8.1
2015,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,OR,409,8.2
2005,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,ID,110,8.2
2000,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,OR,295,8.2
2006,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,CA,2676,8.2
2000,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,ID,96,8.2
2011,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,NY,1658,8.2
2014,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,MA,596,8.2
2013,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,MA,572,8.2
2005,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,HI,107,8.2
2004,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,CT,294,8.2
2006,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,RI,90,8.2
2016,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,IA,352,8.3
2008,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,CA,2854,8.3
2002,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,VT,53,8.3
2009,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,AZ,546,8.3
2010,Influenza and pneumonia (J09-J18),Influenza and pneumonia,WA,578,8.3
2014,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,NJ,786,8.3
2012,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,NY,1708,8.3
1999,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,MD,435,8.3
2015,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,NJ,789,8.3
2010,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,MD,502,8.3
1999,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,IL,1020,8.3
2003,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,AK,28,8.4
2011,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,MA,585,8.4
2011,Influenza and pneumonia (J09-J18),Influenza and pneumonia,VT,68,8.4
2015,Influenza and pneumonia (J09-J18),Influenza and pneumonia,AK,41,8.4
2005,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,MD,472,8.4
2001,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,MD,454,8.4
2004,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,ID,109,8.5
2007,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,CA,2835,8.5
2007,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,AZ,528,8.5
2015,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,CO,458,8.5
2004,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,VT,57,8.5
2014,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,CO,448,8.5
2012,Influenza and pneumonia (J09-J18),Influenza and pneumonia,FL,2338,8.5
2001,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,CA,2831,8.5
2001,Alzheimer's disease (G30),Alzheimer's disease,NY,1705,8.5
2009,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,CT,316,8.5
2008,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,CT,315,8.5
2015,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,CA,3557,8.6
1999,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,ID,99,8.6
2009,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,CA,3033,8.6
2000,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,IA,313,8.6
2016,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,CA,3640,8.6
2005,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,IL,1086,8.6
2007,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,IL,1108,8.6
2006,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,MD,495,8.6
2010,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,CA,3112,8.7
2015,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,ID,154,8.7
2012,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,MA,604,8.7
2013,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,CT,330,8.7
2008,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,MD,507,8.7
2011,Influenza and pneumonia (J09-J18),Influenza and pneumonia,OR,401,8.7
2016,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,MN,588,8.8
2013,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,ID,148,8.8
2016,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,NV,274,8.8
2013,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,IA,369,8.8
2013,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,DC,54,8.8
2012,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,ID,148,8.8
2006,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,OR,353,8.8
2016,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,MA,631,8.8
2011,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,MT,104,8.8
2015,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,MD,553,8.8
